id_place,"title","abbrev","address","city","phone","bus","subway","train","rooms","img_map","img_photo",published,"filepic1","filemap1",weight,"created_ts","updated_ts"
1,"Abasto Shopping","","Av. Corrientes 3247","Ciudad Autónoma de Buenos Aires","0810-122-HOYTS (46987)","24-26-41-61-62-64-68-71-75-99-101-115-118-124-132-146-155-168-180- (R155)-188-194","Subte línea B, Estación Carlos Gardel.","","HOYTS1,HOYTS2,HOYTS3,HOYTS4,HOYTS5,HOYTS6,HOYTS7,HOYTS8,HOYTS9,HOYTS10,HOYTS11,HOYTS12",NULL,NULL,1,"abasto_shopping_1.jpg","abasto_shopping_1.jpg",2,"2009-03-06 12:17:43","2012-03-30 20:43:26"
2,"Atlas Santa Fe","","Av. Santa Fe 2015","Ciudad Autónoma de Buenos Aires","","10-12-29-37-39-59-60-75-99-101-102-106-108-109-111-124-140-152","Subte línea D, Estación Pueyrredón.",NULL,"Sta. Fe 1,Sta. Fe 2",NULL,NULL,0,"atlas_santa_fe_1.jpg","atlas_santa_fe_1.jpg",5,"2009-03-06 12:18:08","2012-03-08 15:25:06"
3,"Teatro San Martín","","Av. Corrientes 1530 Piso 10º - Sala Leopoldo Lugones","Ciudad Autónoma de Buenos Aires","4371-0111","5-6-7-23-24-26-29-39-50-56-60-64-86-99-102-105-109-111-115-124-140-142-146-151-180(R155)","Subte línea B, Estación Uruguay. Línea D, Estación Tribunales. Línea A, Estación Sáenz Peña","","Sala Leopoldo Lugones",NULL,NULL,1,"teatro_san_martin_1.jpg","teatro_san_martin_1.jpg",5,"2009-03-06 12:18:44","2012-03-23 17:07:33"
4,"Alianza Francesa de Buenos Aires","","Av. Córdoba 946","Ciudad Autónoma de Buenos Aires","4322-0068","5-7-9-10-17-23-29-39-45-59-67-70-75-99-100-101-102-106-108-109-111-115-132-140-150-152","Subte línea C, Estación Lavalle. Línea D, Estación Tribunales. Línea B, Estación Carlos Pellegrini.","","",NULL,NULL,1,"alianza_francesa_de_buenos_aires_1.jpg","alianza_francesa_de_buenos_aires_1.jpg",11,"2009-03-06 12:19:04","2012-03-21 19:21:51"
5,"Malba Cine","","Av. Figueroa Alcorta 3415","Ciudad Autónoma de Buenos Aires","4808-6500 / 6515","10-37-38-41-59-60-67-92-93-95-102-108-110-118-124-128-130","","","Auditorio",NULL,NULL,1,"malba_cine_1.jpg","malba_cine_1.jpg",9,"2009-03-06 12:19:23","2012-03-09 16:55:16"
6,"CCC Teatro 25 de Mayo","","Av. Triunvirato 4444","Ciudad Autónoma de Buenos Aires","4524-7997","71-93-108-112-113-114-127-133-175-176","Subte línea B, Estación Los Incas","","",NULL,NULL,1,"ccc_teatro_25_de_mayo_1.jpg","ccc_teatro_25_de_mayo_1.jpg",3,"2009-03-06 12:19:43","2012-03-22 13:58:56"
9,"Anfiteatro del Parque Centenario","","Av. Ángel Gallardo y Leopoldo Marechal, entrada por Lillo","Ciudad Autónoma de Buenos Aires","","15,36,42,65,92,99,105,112,124,141","Línea B, estación Ángel Gallardo","","",NULL,NULL,1,"anfiteatro_del_parque_centenario_1.jpg","anfiteatro_del_parque_centenario_1.jpg",7,"2009-03-06 12:20:57","2012-03-27 16:44:41"
12,"Arteplex Belgrano","","Av. Cabildo 2829","Ciudad Autónoma de Buenos Aires","4781-6500","41- 57- 59-60-68-133-151-152-161-168- 169-175-184-194","Línea D, Est. Congreso de Tucumán.","","",NULL,NULL,1,"arteplex_belgrano_1.jpg","arteplex_belgrano_1.jpg",8,"2010-03-17 23:17:18","2012-03-19 19:21:12"
13,"BAFICITO al Aire Libre:  Plaza San Martín de Tours ","","Schiaffino y Posadas","Ciudad Autónoma de Buenos Aires","","10-17-21-37-59-60-61-67-75-92-93-102-110-124-130","",NULL,"",NULL,NULL,0,"baficito_al_aire_libre__plaza_san_martin_de_tours_1.jpg","baficito_al_aire_libre__plaza_san_martin_de_tours_1.jpg",3,"2010-03-20 19:00:26","2012-03-08 15:26:48"
15,"Abasto Shopping - Museo de los Niños","","Av. Corrientes 3247","Ciudad Autónoma de Buenos Aires","","24 - 26 - 41 - 61 - 62 - 64 - 68 - 71 - 75 - 99 - 101 - 115 - 118 - 124 - 132 - 146 - 155 - 168 - 18","Subte línea B, Estación Carlos Gardel.",NULL,"",NULL,NULL,0,"abasto_shopping_-_museo_de_los_ninos_1.jpg","abasto_shopping_-_museo_de_los_ninos_1.jpg",13,"2010-03-25 04:34:33","2011-03-09 21:45:30"
16,"Fundación Proa ","","Av. Pedro de Mendoza 1929","Ciudad Autónoma de Buenos Aires","4104-1000","25, 29, 64, 86, 152. ","","","",NULL,NULL,1,"fundacion_proa_1.jpg","fundacion_proa_1.jpg",10,"2011-03-09 21:55:08","2012-03-09 17:15:30"
17,"Cine Cosmos - UBA","","Av. Corrientes 2046","Ciudad Autónoma de Buenos Aires","4953-5405","5, 6, 7, 12, 23, 24, 26, 29, 37, 39, 50, 60, 102, 124, 146, 150, 155, 180 (R155) ","Subte línea B, Estación Pasteur o Estación Callao","","",NULL,NULL,1,"cine_cosmos_-_uba_1.jpg","cine_cosmos_-_uba_1.jpg",12,"2011-03-09 22:01:34","2012-03-26 14:10:27"
18,"Universidad del Cine","","Pasaje J. M. Giufra 330","Ciudad Autónoma de Buenos Aires","","","",NULL,"",NULL,NULL,0,"universidad_del_cine_1.jpg","universidad_del_cine_1.jpg",0,"2011-03-21 06:48:47","2011-03-21 15:48:39"
19,"Punto de Encuentro BAFICI","","Entrepiso del Abasto Shopping","Ciudad Autónoma de Buenos Aires","","","","","Auditorio",NULL,NULL,1,"punto_de_encuentro_bafici_1.jpg","punto_de_encuentro_bafici_1.jpg",1,"2011-03-21 06:49:54","2012-03-21 14:07:38"
20,"Plaza Cataluña","","Av. 9 de Julio, Av. Cerrito, Arroyo, Posadas.","Ciudad Autónoma de Buenos Aires","","","",NULL,"",NULL,NULL,0,NULL,NULL,0,"2011-03-22 20:14:29","2011-03-22 20:14:29"
21,"Centro Cultural San Martín","","Paraná esq. Sarmiento","Ciudad Autónoma de Buenos Aires","4374-1251","5, 6, 7, 23, 24, 26, 29, 38, 39, 50, 67, 102, 105, 142, 146, 155","Línea B, estación Uruguay","","Sala 1,Sala 2",NULL,NULL,1,"centro_cultural_san_martin_1.jpg","centro_cultural_san_martin_1.jpg",6,"2012-03-08 15:08:33","2012-03-23 16:36:38"
23,"Planetario de la Ciudad de Buenos Aires “Galileo Galilei”","","Av. Sarmiento y Belisario Roldán","Ciudad Autónoma de Buenos Aires","4771-9393 / 6629","12, 15, 29, 36, 37, 39, 41, 55, 57, 59, 60, 64, 67, 68, 93, 95, 102, 108, 111, 118, 124, 128, 130, 152, 160, 161, 166, 188.","","Línea Gral. San Martín, Est. Palermo. Línea Gral. Belgrano, Est. 3 de Febrero. Línea Mitre, Est. 3 de Febrero","",NULL,NULL,1,"planetario_de_la_ciudad_de_buenos_aires_rgalileo_galileir_1.jpg","planetario_de_la_ciudad_de_buenos_aires_rgalileo_galileir_1.jpg",4,"2012-03-08 16:34:50","2012-03-12 17:27:02"
24,"Casa de la Cultura","","Av. de Mayo 575","Ciudad Autónoma de Buenos Aires","","","","","",NULL,NULL,0,"casa_de_la_cultura_1.jpg","casa_de_la_cultura_1.jpg",20,"2012-03-12 15:16:47","2012-03-13 15:30:42"
25,"Fundación Universidad del Cine","","Pasaje J. M. Giufra 330","Ciudad Autónoma de Buenos Aires","","","","","",NULL,NULL,0,"fundacion_universidad_del_cine_1.jpg","fundacion_universidad_del_cine_1.jpg",50,"2012-03-23 22:36:47","2012-03-23 22:37:06"
